type,original,placeholder,file,line,role
import_from,src.download_data,module_l2_001,dags\src\airflow.py,10,module
import_from,src.unzip_data,module_l2_002,dags\src\airflow.py,11,module
import_from,src.data_loader,module_l2_003,dags\src\airflow.py,12,module
import_from,src.missing_values_handler,module_l2_004,dags\src\airflow.py,13,module
import_from,src.duplicates_handler,module_l2_005,dags\src\airflow.py,14,module
import_from,src.transaction_status_handler,module_l2_006,dags\src\airflow.py,15,module
import_from,src.anomaly_code_handler,module_l2_007,dags\src\airflow.py,16,module
import_from,src.cleaning_description,module_l2_008,dags\src\airflow.py,17,module
import_from,src.removing_zero_unitprice,module_l2_009,dags\src\airflow.py,18,module
import_from,src.rfm,module_l2_010,dags\src\airflow.py,19,module
import_from,src.unique_products,module_l2_011,dags\src\airflow.py,20,module
import_from,src.customers_behavior,module_l2_012,dags\src\airflow.py,21,module
import_from,src.geographic_features,module_l2_013,dags\src\airflow.py,22,module
import_from,src.cancellation_details,module_l2_014,dags\src\airflow.py,23,module
import_from,src.seasonality,module_l2_015,dags\src\airflow.py,24,module
import_from,src.outlier_treatment,module_l2_016,dags\src\airflow.py,25,module
import_from,src.scaler,module_l2_017,dags\src\airflow.py,26,module
import_from,src.pca,module_l2_018,dags\src\airflow.py,27,module
import_from,src.correlation,module_l2_019,dags\src\airflow.py,28,module
function,handle_anomalous_codes,data_cleaning_func_001,dags\src\anomaly_code_handler.py,16,data_cleaning
parameter,input_pickle_path,param_001,dags\src\anomaly_code_handler.py,16,parameter
parameter,output_pickle_path,param_002,dags\src\anomaly_code_handler.py,16,parameter
function,cancellation_details,feature_engineering_func_001,dags\src\cancellation_details.py,16,feature_engineering
parameter,input_pickle_file,param_003,dags\src\cancellation_details.py,16,parameter
parameter,geographic_pickle_file,param_004,dags\src\cancellation_details.py,16,parameter
parameter,output_pickle_file,param_005,dags\src\cancellation_details.py,16,parameter
function,cleaning_description,utility_func_001,dags\src\cleaning_description.py,14,utility
parameter,input_pickle_path,param_001,dags\src\cleaning_description.py,14,parameter
parameter,output_pickle_path,param_002,dags\src\cleaning_description.py,14,parameter
import_from,prompt_toolkit.shortcuts,module_l2_020,dags\src\correlation.py,12,module
function,correlation_check,analysis_func_001,dags\src\correlation.py,35,analysis
parameter,in_path,param_006,dags\src\correlation.py,35,parameter
parameter,out_path,param_007,dags\src\correlation.py,35,parameter
parameter,correlation_threshold,param_008,dags\src\correlation.py,35,parameter
function,save_heatmap,data_saver_func_001,dags\src\correlation.py,98,data_saver
parameter,fig,param_009,dags\src\correlation.py,98,parameter
function,save_correlations_as_parquet,data_saver_func_002,dags\src\correlation.py,121,data_saver
function,customers_behavior,feature_engineering_func_002,dags\src\customers_behavior.py,16,feature_engineering
parameter,input_pickle_file,param_003,dags\src\customers_behavior.py,16,parameter
parameter,unique_pickle_file,param_010,dags\src\customers_behavior.py,16,parameter
parameter,output_pickle_file,param_005,dags\src\customers_behavior.py,16,parameter
function,load_data,data_loader_func_001,dags\src\data_loader.py,17,data_loader
parameter,pickle_path,param_011,dags\src\data_loader.py,17,parameter
parameter,excel_path,param_012,dags\src\data_loader.py,17,parameter
function,ingest_data,data_loader_func_002,dags\src\download_data.py,9,data_loader
parameter,file_url,param_013,dags\src\download_data.py,9,parameter
function,remove_duplicates,data_cleaning_func_002,dags\src\duplicates_handler.py,21,data_cleaning
parameter,input_pickle_path,param_001,dags\src\duplicates_handler.py,21,parameter
parameter,output_pickle_path,param_002,dags\src\duplicates_handler.py,21,parameter
function,geographic_features,feature_engineering_func_003,dags\src\geographic_features.py,14,feature_engineering
parameter,input_pickle_file,param_003,dags\src\geographic_features.py,14,parameter
parameter,behavorial_pickle_file,param_014,dags\src\geographic_features.py,14,parameter
parameter,output_pickle_file,param_005,dags\src\geographic_features.py,14,parameter
function,handle_missing,data_cleaning_func_003,dags\src\missing_values_handler.py,15,data_cleaning
parameter,input_pickle_path,param_001,dags\src\missing_values_handler.py,15,parameter
parameter,output_pickle_path,param_002,dags\src\missing_values_handler.py,15,parameter
function,removing_outlier,data_cleaning_func_004,dags\src\outlier_treatment.py,18,data_cleaning
parameter,input_pickle_path,param_001,dags\src\outlier_treatment.py,18,parameter
parameter,output_pickle_path,param_002,dags\src\outlier_treatment.py,18,parameter
import_from,prompt_toolkit.shortcuts,module_l2_020,dags\src\pca.py,13,module
function,pc_analyzer,ml_model_func_001,dags\src\pca.py,27,ml_model
parameter,in_path,param_006,dags\src\pca.py,27,parameter
parameter,out_path,param_007,dags\src\pca.py,27,parameter
parameter,drop_cols,param_015,dags\src\pca.py,27,parameter
parameter,cvr_thresh,param_016,dags\src\pca.py,27,parameter
function,pca_,ml_model_func_002,dags\src\pca.py,98,ml_model
parameter,thresh,param_017,dags\src\pca.py,98,parameter
function,removing_zero,data_cleaning_func_005,dags\src\removing_zero_unitprice.py,16,data_cleaning
parameter,input_pickle_path,param_001,dags\src\removing_zero_unitprice.py,16,parameter
parameter,output_pickle_path,param_002,dags\src\removing_zero_unitprice.py,16,parameter
function,rfm,feature_engineering_func_004,dags\src\rfm.py,14,feature_engineering
parameter,input_pickle_file,param_003,dags\src\rfm.py,14,parameter
parameter,output_pickle_file,param_005,dags\src\rfm.py,14,parameter
import_from,prompt_toolkit.shortcuts,module_l2_020,dags\src\scaler.py,12,module
function,scaler,ml_model_func_003,dags\src\scaler.py,27,ml_model
parameter,in_path,param_006,dags\src\scaler.py,27,parameter
parameter,out_path,param_007,dags\src\scaler.py,27,parameter
parameter,cols,param_018,dags\src\scaler.py,27,parameter
function,seasonality_impacts,feature_engineering_func_005,dags\src\seasonality.py,19,feature_engineering
parameter,input_pickle_file,param_003,dags\src\seasonality.py,19,parameter
parameter,cancellation_pickle_file,param_019,dags\src\seasonality.py,19,parameter
parameter,output_pickle_file,param_005,dags\src\seasonality.py,19,parameter
parameter,data_filepath,param_020,dags\src\seasonality.py,19,parameter
function,calculate_trend,analysis_func_002,dags\src\seasonality.py,55,analysis
parameter,spend_data,param_021,dags\src\seasonality.py,55,parameter
function,handle_transaction_status,data_cleaning_func_006,dags\src\transaction_status_handler.py,18,data_cleaning
parameter,input_pickle_path,param_001,dags\src\transaction_status_handler.py,18,parameter
parameter,output_pickle_path,param_002,dags\src\transaction_status_handler.py,18,parameter
function,unique_products,feature_engineering_func_006,dags\src\unique_products.py,14,feature_engineering
parameter,input_pickle_file,param_003,dags\src\unique_products.py,14,parameter
parameter,rfm_pickle_file,param_022,dags\src\unique_products.py,14,parameter
parameter,output_pickle_file,param_005,dags\src\unique_products.py,14,parameter
import,zipfile,module_l1_001,dags\src\unzip_data.py,4,module
function,unzip_file,data_loader_func_003,dags\src\unzip_data.py,13,data_loader
parameter,zip_filename,param_023,dags\src\unzip_data.py,13,parameter
parameter,extract_to,param_024,dags\src\unzip_data.py,13,parameter
import_from,src.download_data,module_l2_001,gcpdeploy\src\airflow.py,10,module
import_from,src.unzip_data,module_l2_002,gcpdeploy\src\airflow.py,11,module
import_from,src.data_loader,module_l2_003,gcpdeploy\src\airflow.py,12,module
import_from,src.missing_values_handler,module_l2_004,gcpdeploy\src\airflow.py,13,module
import_from,src.duplicates_handler,module_l2_005,gcpdeploy\src\airflow.py,14,module
import_from,src.transaction_status_handler,module_l2_006,gcpdeploy\src\airflow.py,15,module
import_from,src.anomaly_code_handler,module_l2_007,gcpdeploy\src\airflow.py,16,module
import_from,src.cleaning_description,module_l2_008,gcpdeploy\src\airflow.py,17,module
import_from,src.removing_zero_unitprice,module_l2_009,gcpdeploy\src\airflow.py,18,module
import_from,src.rfm,module_l2_010,gcpdeploy\src\airflow.py,19,module
import_from,src.unique_products,module_l2_011,gcpdeploy\src\airflow.py,20,module
import_from,src.customers_behavior,module_l2_012,gcpdeploy\src\airflow.py,21,module
import_from,src.geographic_features,module_l2_013,gcpdeploy\src\airflow.py,22,module
import_from,src.cancellation_details,module_l2_014,gcpdeploy\src\airflow.py,23,module
import_from,src.seasonality,module_l2_015,gcpdeploy\src\airflow.py,24,module
import_from,src.outlier_treatment,module_l2_016,gcpdeploy\src\airflow.py,25,module
import_from,src.scaler,module_l2_017,gcpdeploy\src\airflow.py,26,module
import_from,src.pca,module_l2_018,gcpdeploy\src\airflow.py,27,module
import_from,src.correlation,module_l2_019,gcpdeploy\src\airflow.py,28,module
function,handle_anomalous_codes,data_cleaning_func_001,gcpdeploy\src\anomaly_code_handler.py,16,data_cleaning
parameter,input_pickle_path,param_001,gcpdeploy\src\anomaly_code_handler.py,16,parameter
parameter,output_pickle_path,param_002,gcpdeploy\src\anomaly_code_handler.py,16,parameter
function,initialize_aiplatform,utility_func_002,gcpdeploy\src\build.py,17,utility
parameter,project_id,param_025,gcpdeploy\src\build.py,17,parameter
parameter,region,param_026,gcpdeploy\src\build.py,17,parameter
parameter,bucket,param_027,gcpdeploy\src\build.py,17,parameter
function,create_training_job,feature_engineering_func_007,gcpdeploy\src\build.py,26,feature_engineering
parameter,display_name,param_028,gcpdeploy\src\build.py,26,parameter
parameter,container_uri,param_029,gcpdeploy\src\build.py,26,parameter
parameter,model_serving_container_image_uri,param_030,gcpdeploy\src\build.py,26,parameter
parameter,bucket,param_027,gcpdeploy\src\build.py,26,parameter
function,run_training_job,pipeline_func_001,gcpdeploy\src\build.py,43,pipeline
parameter,job,param_031,gcpdeploy\src\build.py,43,parameter
parameter,display_name,param_028,gcpdeploy\src\build.py,43,parameter
parameter,base_output_dir,param_032,gcpdeploy\src\build.py,43,parameter
parameter,service_account_email,param_033,gcpdeploy\src\build.py,43,parameter
function,deploy_model_to_endpoint,ml_model_func_004,gcpdeploy\src\build.py,59,ml_model
parameter,model,param_034,gcpdeploy\src\build.py,59,parameter
parameter,display_name,param_028,gcpdeploy\src\build.py,59,parameter
parameter,service_account_email,param_033,gcpdeploy\src\build.py,59,parameter
function,main,pipeline_func_002,gcpdeploy\src\build.py,73,pipeline
function,cancellation_details,feature_engineering_func_001,gcpdeploy\src\cancellation_details.py,16,feature_engineering
parameter,input_pickle_file,param_003,gcpdeploy\src\cancellation_details.py,16,parameter
parameter,geographic_pickle_file,param_004,gcpdeploy\src\cancellation_details.py,16,parameter
parameter,output_pickle_file,param_005,gcpdeploy\src\cancellation_details.py,16,parameter
function,cleaning_description,utility_func_001,gcpdeploy\src\cleaning_description.py,14,utility
parameter,input_pickle_path,param_001,gcpdeploy\src\cleaning_description.py,14,parameter
parameter,output_pickle_path,param_002,gcpdeploy\src\cleaning_description.py,14,parameter
import_from,prompt_toolkit.shortcuts,module_l2_020,gcpdeploy\src\correlation.py,11,module
function,correlation_check,analysis_func_001,gcpdeploy\src\correlation.py,32,analysis
parameter,in_path,param_006,gcpdeploy\src\correlation.py,32,parameter
parameter,out_path,param_007,gcpdeploy\src\correlation.py,32,parameter
parameter,correlation_threshold,param_008,gcpdeploy\src\correlation.py,32,parameter
function,save_heatmap,data_saver_func_001,gcpdeploy\src\correlation.py,95,data_saver
parameter,fig,param_009,gcpdeploy\src\correlation.py,95,parameter
function,save_correlations_as_parquet,data_saver_func_002,gcpdeploy\src\correlation.py,118,data_saver
function,customers_behavior,feature_engineering_func_002,gcpdeploy\src\customers_behavior.py,16,feature_engineering
parameter,input_pickle_file,param_003,gcpdeploy\src\customers_behavior.py,16,parameter
parameter,unique_pickle_file,param_010,gcpdeploy\src\customers_behavior.py,16,parameter
parameter,output_pickle_file,param_005,gcpdeploy\src\customers_behavior.py,16,parameter
import_from,download_data,module_l1_002,gcpdeploy\src\datapipeline.py,4,module
import_from,unzip_data,module_l1_003,gcpdeploy\src\datapipeline.py,5,module
import_from,data_loader,module_l1_004,gcpdeploy\src\datapipeline.py,6,module
import_from,missing_values_handler,module_l1_005,gcpdeploy\src\datapipeline.py,7,module
import_from,duplicates_handler,module_l1_006,gcpdeploy\src\datapipeline.py,8,module
import_from,transaction_status_handler,module_l1_007,gcpdeploy\src\datapipeline.py,9,module
import_from,anomaly_code_handler,module_l1_008,gcpdeploy\src\datapipeline.py,10,module
function,load_data,data_loader_func_001,gcpdeploy\src\data_loader.py,17,data_loader
parameter,pickle_path,param_011,gcpdeploy\src\data_loader.py,17,parameter
parameter,excel_path,param_012,gcpdeploy\src\data_loader.py,17,parameter
function,ingest_data,data_loader_func_002,gcpdeploy\src\download_data.py,9,data_loader
parameter,file_url,param_013,gcpdeploy\src\download_data.py,9,parameter
function,remove_duplicates,data_cleaning_func_002,gcpdeploy\src\duplicates_handler.py,21,data_cleaning
parameter,input_pickle_path,param_001,gcpdeploy\src\duplicates_handler.py,21,parameter
parameter,output_pickle_path,param_002,gcpdeploy\src\duplicates_handler.py,21,parameter
function,geographic_features,feature_engineering_func_003,gcpdeploy\src\geographic_features.py,14,feature_engineering
parameter,input_pickle_file,param_003,gcpdeploy\src\geographic_features.py,14,parameter
parameter,behavorial_pickle_file,param_014,gcpdeploy\src\geographic_features.py,14,parameter
parameter,output_pickle_file,param_005,gcpdeploy\src\geographic_features.py,14,parameter
function,predict_custom_trained_model,ml_model_func_005,gcpdeploy\src\inference.py,7,ml_model
parameter,project,param_035,gcpdeploy\src\inference.py,7,parameter
parameter,endpoint_id,param_036,gcpdeploy\src\inference.py,7,parameter
parameter,instances,param_037,gcpdeploy\src\inference.py,7,parameter
parameter,location,param_038,gcpdeploy\src\inference.py,7,parameter
parameter,api_endpoint,param_039,gcpdeploy\src\inference.py,7,parameter
function,mlflow_logging_train,ml_model_func_006,gcpdeploy\src\mflow_logging.py,35,ml_model
parameter,data_path,param_040,gcpdeploy\src\mflow_logging.py,35,parameter
function,handle_missing,data_cleaning_func_003,gcpdeploy\src\missing_values_handler.py,15,data_cleaning
parameter,input_pickle_path,param_001,gcpdeploy\src\missing_values_handler.py,15,parameter
parameter,output_pickle_path,param_002,gcpdeploy\src\missing_values_handler.py,15,parameter
import,pytz,module_l1_009,gcpdeploy\src\model_analysis.py,3,module
import,gcsfs,module_l1_010,gcpdeploy\src\model_analysis.py,9,module
import_from,tabulate,module_l1_011,gcpdeploy\src\model_analysis.py,17,module
function,load_data,data_loader_func_001,gcpdeploy\src\model_analysis.py,28,data_loader
parameter,gcs_train_data_path,param_041,gcpdeploy\src\model_analysis.py,28,parameter
function,normalize_data,data_cleaning_func_007,gcpdeploy\src\model_analysis.py,51,data_cleaning
parameter,stats,param_042,gcpdeploy\src\model_analysis.py,51,parameter
function,data_transform,ml_model_func_007,gcpdeploy\src\model_analysis.py,73,ml_model
function,top_pca,ml_model_func_008,gcpdeploy\src\model_analysis.py,117,ml_model
parameter,pca_output,param_043,gcpdeploy\src\model_analysis.py,117,parameter
function,cluster_distribution,ml_model_func_009,gcpdeploy\src\model_analysis.py,165,ml_model
parameter,pca_output,param_043,gcpdeploy\src\model_analysis.py,165,parameter
