file,change_type,original,replacement
dags\src\airflow.py,import,from src.download_data import ingest_data,from module_l2_001 import data_loader_func_002
dags\src\airflow.py,import,from src.unzip_data import unzip_file,from module_l2_002 import data_loader_func_003
dags\src\airflow.py,import,from src.data_loader import load_data,from module_l2_003 import data_loader_func_001
dags\src\airflow.py,import,from src.missing_values_handler import handle_missing,from module_l2_004 import data_cleaning_func_003
dags\src\airflow.py,import,from src.duplicates_handler import remove_duplicates,from module_l2_005 import data_cleaning_func_002
dags\src\airflow.py,import,from src.transaction_status_handler import handle_transactio,from module_l2_006 import data_cleaning_func_006
dags\src\airflow.py,import,from src.anomaly_code_handler import handle_anomalous_codes,from module_l2_007 import data_cleaning_func_001
dags\src\airflow.py,import,from src.cleaning_description import cleaning_description,from module_l2_008 import utility_func_001
dags\src\airflow.py,import,from src.removing_zero_unitprice import removing_zero,from module_l2_009 import data_cleaning_func_005
dags\src\airflow.py,import,from src.rfm import rfm,from module_l2_010 import feature_engineering_func_004
dags\src\airflow.py,import,from src.unique_products import unique_products,from module_l2_011 import feature_engineering_func_006
dags\src\airflow.py,import,from src.customers_behavior import customers_behavior,from module_l2_012 import feature_engineering_func_002
dags\src\airflow.py,import,from src.geographic_features import geographic_features,from module_l2_013 import feature_engineering_func_003
dags\src\airflow.py,import,from src.cancellation_details import cancellation_details,from module_l2_014 import feature_engineering_func_001
dags\src\airflow.py,import,from src.seasonality import seasonality_impacts,from module_l2_015 import feature_engineering_func_005
dags\src\airflow.py,import,from src.outlier_treatment import removing_outlier,from module_l2_016 import data_cleaning_func_004
dags\src\airflow.py,import,from src.scaler import scaler,from module_l2_017 import ml_model_func_003
dags\src\airflow.py,import,from src.pca import pc_analyzer,from module_l2_018 import ml_model_func_001
dags\src\airflow.py,import,from src.correlation import correlation_check,from module_l2_019 import analysis_func_001
dags\src\airflow.py,standalone_identifier,handle_transaction_status,data_cleaning_func_006
dags\src\airflow.py,standalone_identifier,handle_anomalous_codes,data_cleaning_func_001
dags\src\airflow.py,standalone_identifier,cancellation_details,feature_engineering_func_001
dags\src\airflow.py,standalone_identifier,cleaning_description,utility_func_001
dags\src\airflow.py,standalone_identifier,geographic_features,feature_engineering_func_003
dags\src\airflow.py,standalone_identifier,seasonality_impacts,feature_engineering_func_005
dags\src\airflow.py,standalone_identifier,customers_behavior,feature_engineering_func_002
dags\src\airflow.py,standalone_identifier,correlation_check,analysis_func_001
dags\src\airflow.py,standalone_identifier,remove_duplicates,data_cleaning_func_002
dags\src\airflow.py,standalone_identifier,removing_outlier,data_cleaning_func_004
dags\src\airflow.py,standalone_identifier,unique_products,feature_engineering_func_006
dags\src\airflow.py,standalone_identifier,handle_missing,data_cleaning_func_003
dags\src\airflow.py,standalone_identifier,removing_zero,data_cleaning_func_005
dags\src\airflow.py,standalone_identifier,ingest_data,data_loader_func_002
dags\src\airflow.py,standalone_identifier,pc_analyzer,ml_model_func_001
